name,type,PP,Accuracy,power,Effect
Karate Chop,Fighting,25,100,50,High crit. chance
Punch,Fighting,35,100,40,-
Rocket Punch,Steel,20,90,85,-
Kick,Fighting,35,95,50,-
Scratch,Normal,35,100,35,-
Janken,Fighting,25,100,60,-
Jet Kick,Fighting,20,90,85,-
Hypertornado,Flying,25,100,80,-
Tail Smash,Normal,20,95,60,-
SSB Kaioken,Fire,5,-,-,"Raises ATTACK, SPEED, and SP. ATK sharply"
Crush,Normal,20,100,85,x2 dmg if target minimizedFlinch (30% chance)
Mega Kick,Normal,5,75,120,-
Mawashi Geri,Fighting,15,85,70,-
Double Kick,Fighting,30,100,30,2 hits (Pow = 30 each)
Headbutt,Normal,15,100,70,Flinch (20% chance)
Horn Attack,Normal,25,100,60,-
Body Slam,Normal,15,100,85,Paralyzis (20% chance)
Roga Fufuken,Fighting,20,100,60,Attack power ups each time fighter is hit
Dragon Rush,Fighting,20,95,90,-
Wild Slash,Normal,25,100,65,High crit. chance
Death Needle,Poison,15,75,15,Poison (100% chance)
Full Power,Normal,15,-,-,Raises ATTACK sharply
Power Burst,Normal,20,-,-,Raises SP. ATK & SP. DEF
Leer,Normal,30,100,-,Lowers foe's DEFMultiple foes
Hyper Mode,Normal,15,-,-,Raises SP. ATK sharply
Energy Ball,Fire,30,100,60,-
Song,Normal,15,100,-,Sleep (100% chance)
Acid,Poison,30,100,30,Burn (30% chance)Multiple foes
Energy Shot,Fire,25,90,90,-
Fire Breath,Fire,15,100,95,Burn (10% chance)
Ki Bomber,Fire,20,100,80,-
Stone Spit,Dark,25,100,-,Paralyzis (100% chance)
Ice Blast,Ice,10,100,120,Freeze (20% chance)
Gravity,Psychic,30,100,-,Lowers foe's SPEED
Ki Blast,Fire,20,100,90,-
Mouth Blast,Fire,20,100,95,-
Low Kick,Fighting,20,100,Varies,More dmg on heavier foes
Counter,Fighting,20,100,Varies,Reflects physical attack as double dmg
Haikyuken,Fighting,20,100,80,-
Kyushu,Steel,20,100,30,Heals with 1/2 dmg inflicted
Eye Beam,Fire,35,100,70,-
Power Up,Normal,30,-,-,Raises ATTACK
Kienzan,Fire,15,75,80,High crit. chance
Sokidan,Fire,30,100,60,-
Kamehameha,Fire,20,100,100,-
Garric Gun,Fire,20,100,95,-
